shipment_number,shipment_leg,dispatch_time,arrival_time,sender_partner_code,receiver_partner_code,origin_facility_code,destination_facility_code,carrier_partner_code,item_category,declared_quantity,declared_unit,temperature_control_class,authorization_class,declared_purpose,shipment_status
SHP-2024-00035,1,2024-06-19T05:00:00,2024-06-20T13:00:00,BP-30016,BP-30078,FCL-1030,FCL-1011,BP-30015,medical_consumables,69,case,2-8C,ordinary,customer distribution,delivered
SHP-2024-00036,1,2024-06-21T10:00:00,2024-06-24T14:00:00,BP-30053,BP-30033,FCL-1030,FCL-1013,BP-30020,monitoring_equipment,3,kit,ambient,ordinary,agricultural distribution,delivered
SHP-2024-00037,1,2024-06-22T07:00:00,2024-06-25T20:00:00,BP-30047,BP-30024,FCL-1016,FCL-1016,BP-30042,laboratory_material,52,pack,ambient,emergency,facility replenishment,delivered
SHP-2024-00038,1,2024-06-23T05:00:00,2024-06-25T00:00:00,BP-30049,BP-30050,FCL-1002,FCL-1028,BP-30031,transport_service,1,service,ambient,ordinary,field programme support,delivered
SHP-2024-00039,1,2024-06-23T15:00:00,2024-06-27T01:00:00,BP-30050,BP-30061,FCL-1028,FCL-1030,BP-30060,communication_service,1,service,ambient,ordinary,facility replenishment,delivered
SHP-2024-00040,1,2024-06-23T18:00:00,2024-06-26T18:00:00,BP-30006,BP-30039,FCL-1019,FCL-1029,BP-30060,medical_consumables,88,case,2-8C,ordinary,facility replenishment,delivered
SHP-2024-00041,1,2024-06-25T11:00:00,2024-06-29T02:00:00,BP-30075,BP-30080,FCL-1027,FCL-1020,BP-30042,medical_consumables,54,case,2-8C,ordinary,customer distribution,delivered
SHP-2024-00042,1,2024-07-07T15:00:00,07-Jul-2024 22:00:00,BP-30061,BP-30021,FCL-1030,FCL-1007,BP-30060,laboratory_material,60,pack,ambient,restricted,laboratory delivery,delivered
SHP-2024-00043,1,2024-07-09T06:00:00,2024-07-12T06:00:00,BP-30017,BP-30039,FCL-1010,FCL-1029,BP-30060,consulting_service,1,service,ambient,expedited,scheduled stock transfer,delivered
SHP-2024-00044,1,2024-08-16T09:00:00,2024-08-17T05:00:00,BP-30056,BP-30078,FCL-1020,FCL-1020,BP-30047,biological_sample,3,sealed_lot,2-8C,expedited,environmental and wildlife reference materials,delivered
SHP-2024-00045,1,2024-08-17T09:00:00,2024-08-18T12:00:00,BP-30011,BP-30078,FCL-1012,FCL-1011,BP-30055,agricultural_product,37,pallet,ambient,expedited,field programme support,delivered
SHP-2024-00046,1,2024-09-06T07:00:00,2024-09-06T21:00:00,BP-30065,BP-30047,FCL-1014,FCL-1016,BP-30020,consulting_service,1,service,ambient,ordinary,field programme support,DELIVERED
SHP-2024-00047,1,2024-09-07T12:00:00,2024-09-09T07:00:00,BP-30004,BP-30071,FCL-1029,FCL-1011,BP-30042,office_supply,37,case,ambient,ordinary,facility replenishment,returned
SHP-2025-00001,1,2025-02-11T09:00:00,2025-02-13T21:00:00,BP-30052,BP-30012,FCL-1011,FCL-1020,BP-30055,office_supply,8,case,ambient,expedited,agricultural distribution,delayed
SHP-2025-00002,1,2025-02-12T09:00:00,2025-02-15T22:00:00,BP-30035,BP-30080,FCL-1009,FCL-1020,BP-30015,agricultural_product,46,pallet,ambient,ordinary,facility replenishment,delivered
SHP-2025-00003,1,2025-03-08T15:00:00,2025-03-09T16:00:00,BP-30011,BP-30029,FCL-1012,FCL-1004,BP-30055,monitoring_equipment,13,kit,ambient,ordinary,laboratory delivery,delivered
SHP-2025-00004,1,2025-04-03T11:00:00,,BP-30078,BP-30021,FCL-1011,FCL-1007,BP-30020,medical_consumables,33,case,2-8C,ordinary,laboratory delivery,in_transit
SHP-2025-00005,1,2025-04-18T09:00:00,2025-04-20T11:00:00,BP-30056,BP-30078,FCL-1030,FCL-1024,BP-30047,biological_sample,4,sealed_lot,2-8C,restricted,environmental and wildlife reference materials,delivered
SHP-2025-00006,1,2025-05-01T10:00:00,2025-05-02T02:00:00,BP-30049,BP-30078,FCL-1002,FCL-1011,BP-30025,cold_storage_equipment,20,unit,ambient,ordinary,field programme support,delayed
SHP-2025-00007,1,2025-05-01T12:00:00,,BP-30001,BP-30069,FCL-1025,FCL-1008,BP-30042,protective_equipment,3,case,ambient,restricted,scheduled stock transfer,in_transit
SHP-2025-00008,1,2025-05-03T06:00:00,2025-05-03T21:00:00,BP-30051,BP-30064,FCL-1005,FCL-1010,BP-30020,transport_service,1,service,ambient,ordinary,scheduled stock transfer,delivered
SHP-2025-00009,1,2025-05-03T08:00:00,2025-05-05T04:00:00,BP-30069,BP-30031,FCL-1008,FCL-1023,BP-30031,transport_service,1,service,ambient,expedited,facility replenishment,delivered
SHP-2025-00010,1,2025-05-04T18:00:00,2025-05-06T04:00:00,BP-30065,BP-30032,FCL-1014,FCL-1019,BP-30015,other,17,unit,ambient,ordinary,scheduled stock transfer,delivered
SHP-2025-00011,1,2025-05-05T08:00:00,2025-05-07T18:00:00,BP-30078,BP-30021,FCL-1011,FCL-1007,BP-30042,laboratory_material,3,pack,ambient,ordinary,laboratory delivery,delivered
SHP-2025-00012,1,2025-05-05T16:00:00,2025-05-06T03:00:00,BP-30076,BP-30003,FCL-1020,FCL-1015,BP-30060,medical_equipment,13,unit,ambient,ordinary,facility replenishment,delivered
SHP-2025-00013,1,2025-05-05T18:00:00,2025-05-08T04:00:00,BP-30048,BP-30007,FCL-1011,FCL-1014,BP-30047,cold_storage_equipment,13,unit,ambient,expedited,field programme support,delivered
SHP-2025-00014,1,2025-05-06T11:00:00,2025-05-10T08:00:00,BP-30078,BP-30021,FCL-1011,FCL-1007,BP-30025,agricultural_product,3,pallet,ambient,ordinary,scheduled stock transfer,delivered
SHP-2025-00015,1,2025-05-06T15:00:00,2025-05-07T13:00:00,BP-30045,BP-30006,FCL-1016,FCL-1019,BP-30047,protective_equipment,16,case,ambient,ordinary,customer distribution,delivered
SHP-2025-00016,1,2025-05-07T15:00:00,2025-05-09T05:00:00,BP-30072,BP-30061,FCL-1024,FCL-1030,BP-30060,communication_service,1,service,ambient,ordinary,laboratory delivery,delivered
SHP-2025-00017,1,2025-05-10T10:00:00,2025-05-14T08:00:00,BP-30033,BP-30027,FCL-1013,FCL-1021,BP-30015,protective_equipment,1,case,ambient,ordinary,customer distribution,delayed
SHP-2025-00018,1,2025-05-11T11:00:00,2025-05-13T18:00:00,BP-30078,BP-30079,FCL-1011,FCL-1022,BP-30055,research_contract,1,contract,ambient,ordinary,laboratory delivery,delivered
SHP-2025-00019,1,2025-05-12T07:00:00,2025-05-16T00:00:00,BP-30077,BP-30002,FCL-1007,FCL-1030,BP-30025,monitoring_equipment,10,kit,ambient,expedited,customer distribution,delivered
SHP-2025-00020,1,2025-05-13T07:00:00,2025-05-14T14:00:00,BP-30055,BP-30046,FCL-1010,FCL-1010,BP-30025,protective_equipment,80,case,ambient,ordinary,agricultural distribution,DELIVERED
SHP-2025-00021,1,2025-05-14T13:00:00,2025-05-17T09:00:00,BP-30069,BP-30067,FCL-1008,FCL-1023,BP-30078,refrigeration_service,1,service,ambient,restricted,customer distribution,delivered
SHP-2025-00022,1,2025-05-15T08:00:00,2025-05-16T00:00:00,BP-30017,BP-30069,FCL-1010,FCL-1008,BP-30025,refrigeration_service,1,service,ambient,ordinary,scheduled stock transfer,delivered
SHP-2025-00023,1,2025-05-15T09:00:00,2025-05-16T09:00:00,BP-30031,BP-30077,FCL-1023,FCL-1007,BP-30042,monitoring_equipment,19,kit,ambient,ordinary,scheduled stock transfer,delivered
SHP-2025-00024,1,2025-05-17T08:00:00,2025-05-20T10:00:00,BP-30078,BP-30056,FCL-1011,FCL-1019,BP-30055,medical_consumables,26,case,2-8C,ordinary,scheduled stock transfer,delivered
SHP-2025-00025,1,2025-05-17T12:00:00,2025-05-17T22:00:00,BP-30033,BP-30061,FCL-1013,FCL-1030,BP-30015,biological_sample,15,sealed_lot,2-8C,ordinary,field programme support,delivered
SHP-2025-00026,1,2025-05-18T14:00:00,2025-05-19T04:00:00,BP-30056,BP-30078,FCL-1019,FCL-1011,BP-30042,refrigeration_service,1,service,ambient,emergency,laboratory delivery,delivered
SHP-2025-00027,1,2025-05-20T17:00:00,2025-05-24T05:00:00,BP-30037,BP-30047,FCL-1017,FCL-1016,BP-30042,protective_equipment,51,case,ambient,expedited,laboratory delivery,delivered
SHP-2025-00028,1,2025-05-21T16:00:00,2025-05-23T00:00:00,BP-30003,BP-30079,FCL-1015,FCL-1022,BP-30055,laboratory_material,17,pack,ambient,ordinary,facility replenishment,delayed
SHP-2025-00029,1,2025-05-22T17:00:00,2025-05-23T07:00:00,BP-30054,BP-30014,FCL-1007,FCL-1029,BP-30042,laboratory_material,7,pack,ambient,restricted,facility replenishment,delivered
SHP-2025-00030,1,2025-05-23T06:00:00,2025-05-24T05:00:00,BP-30025,BP-30057,FCL-1026,FCL-1016,BP-30047,monitoring_equipment,15,kit,ambient,ordinary,field programme support,delivered
SHP-2025-00031,1,2025-05-23T10:00:00,2025-05-24T08:00:00,BP-30078,BP-30056,FCL-1011,FCL-1019,BP-30047,agricultural_product,49,pallet,ambient,expedited,laboratory delivery,delivered
SHP-2025-00032,1,2025-06-03T14:00:00,2025-06-07T00:00:00,BP-30017,BP-30078,FCL-1010,FCL-1011,BP-30042,consulting_service,1,service,ambient,ordinary,laboratory delivery,delivered
SHP-2025-00033,1,2025-06-13T09:00:00,2025-06-15T22:00:00,BP-30056,BP-30078,FCL-1019,FCL-1019,BP-30047,biological_sample,8,sealed_lot,2-8C,restricted,environmental and wildlife reference materials,delivered
SHP-2025-00034,1,2025-06-15T13:00:00,2025-06-16T03:00:00,BP-30039,BP-30017,FCL-1029,FCL-1010,BP-30060,laboratory_material,57,pack,ambient,ordinary,facility replenishment,delivered
SHP-2022-00017,1,2022-02-16T14:00:00,2022-02-18T15:00:00,BP-30073,BP-30078,FCL-1019,FCL-1011,BP-30031,protective_equipment,3,case,ambient,ordinary,agricultural distribution,delivered
SHP-2016-00009,1,2016-09-05T13:00:00,2016-09-08T02:00:00,BP-30043,BP-30036,FCL-1010,FCL-1030,BP-30020,consulting_service,1,service,ambient,emergency,scheduled stock transfer,delivered
