shipment_number,shipment_leg,dispatch_time,arrival_time,sender_partner_code,receiver_partner_code,origin_facility_code,destination_facility_code,carrier_partner_code,item_category,declared_quantity,declared_unit,temperature_control_class,authorization_class,declared_purpose,shipment_status,dispatch_year,dispatch_month,transit_hours
SHP-2024-00003,1,2024-02-17 18:00:00,2024-02-19 18:00:00,BP-30078,BP-30014,FCL-1011,FCL-1029,BP-30042,other,22,unit,ambient,ordinary,scheduled stock transfer,returned,2024,2,48.0
SHP-2024-00004,1,2024-02-19 09:00:00,2024-02-22 10:00:00,BP-30080,BP-30070,FCL-1020,FCL-1019,BP-30060,communication_service,1,service,ambient,ordinary,agricultural distribution,delivered,2024,2,73.0
SHP-2024-00005,1,2024-02-22 09:00:00,2024-02-24 16:00:00,BP-30078,BP-30021,FCL-1011,FCL-1010,BP-30047,biological_sample,8,sealed_lot,2-8c,expedited,temperature-controlled clinical programme delivery,delivered,2024,2,55.0
SHP-2024-00006,1,2024-02-25 09:00:00,2024-02-27 17:00:00,BP-30054,BP-30049,FCL-1007,FCL-1002,BP-30060,agricultural_product,24,pallet,ambient,emergency,agricultural distribution,delayed,2024,2,56.0
SHP-2024-00007,1,2024-03-22 09:00:00,2024-03-23 16:00:00,BP-30056,BP-30078,FCL-1030,FCL-1024,BP-30047,biological_sample,6,sealed_lot,2-8c,expedited,environmental and wildlife reference materials,delivered,2024,3,31.0
SHP-2024-00008,1,2024-03-31 16:00:00,2024-04-01 02:00:00,BP-30040,BP-30074,FCL-1015,FCL-1015,BP-30047,office_supply,29,case,ambient,ordinary,customer distribution,delivered,2024,3,10.0
SHP-2024-00009,1,2024-04-06 12:00:00,2024-04-09 02:00:00,BP-30011,BP-30020,FCL-1012,FCL-1001,BP-30031,transport_service,1,service,ambient,ordinary,field programme support,delivered,2024,4,62.0
SHP-2024-00010,1,2024-05-17 14:00:00,2024-05-21 04:00:00,BP-30020,BP-30078,FCL-1001,FCL-1011,BP-30020,legal_service,1,service,ambient,ordinary,field programme support,delivered,2024,5,86.0
SHP-2024-00011,1,2024-05-31 09:00:00,2024-06-03 03:00:00,BP-30056,BP-30078,FCL-1019,FCL-1019,BP-30047,biological_sample,3,sealed_lot,2-8c,restricted,environmental and wildlife reference materials,delivered,2024,5,66.0
SHP-2024-00012,1,2024-06-01 05:00:00,2024-06-02 07:00:00,BP-30027,BP-30069,FCL-1021,FCL-1008,BP-30031,cold_storage_equipment,16,unit,ambient,emergency,laboratory delivery,delivered,2024,6,26.0
SHP-2024-00013,1,2024-06-01 07:00:00,2024-06-04 13:00:00,BP-30019,BP-30007,FCL-1010,FCL-1014,BP-30055,agricultural_equipment,2,unit,ambient,ordinary,customer distribution,delivered,2024,6,78.0
SHP-2024-00014,1,2024-06-01 10:00:00,2024-06-03 01:00:00,BP-30066,BP-30052,FCL-1003,FCL-1011,BP-30042,monitoring_equipment,7,kit,ambient,ordinary,customer distribution,delivered,2024,6,39.0
SHP-2024-00015,1,2024-06-01 15:00:00,2024-06-03 20:00:00,BP-30060,BP-30009,FCL-1009,FCL-1010,BP-30047,agricultural_product,22,pallet,ambient,ordinary,laboratory delivery,delivered,2024,6,53.0
SHP-2024-00016,1,2024-06-02 15:00:00,2024-06-03 05:00:00,BP-30019,BP-30049,FCL-1010,FCL-1002,BP-30055,agricultural_equipment,21,unit,ambient,expedited,scheduled stock transfer,delivered,2024,6,14.0
SHP-2024-00017,1,2024-06-03 16:00:00,2024-06-05 01:00:00,BP-30065,BP-30053,FCL-1014,FCL-1030,BP-30025,refrigeration_service,1,service,ambient,restricted,scheduled stock transfer,delivered,2024,6,33.0
SHP-2024-00018,1,2024-06-03 18:00:00,2024-06-05 22:00:00,BP-30055,BP-30036,FCL-1010,FCL-1030,BP-30025,transport_service,1,service,ambient,expedited,laboratory delivery,delivered,2024,6,52.0
SHP-2024-00019,1,2024-06-04 06:00:00,2024-06-06 12:00:00,BP-30017,BP-30076,FCL-1010,FCL-1020,BP-30055,agricultural_product,26,pallet,ambient,ordinary,facility replenishment,delivered,2024,6,54.0
SHP-2024-00020,1,2024-06-04 15:00:00,2024-06-05 18:00:00,BP-30007,BP-30064,FCL-1014,FCL-1010,BP-30015,biological_sample,4,sealed_lot,2-8c,ordinary,laboratory delivery,delivered,2024,6,27.0
SHP-2024-00021,1,2024-06-05 15:00:00,2024-06-08 05:00:00,BP-30080,BP-30072,FCL-1020,FCL-1024,BP-30060,cold_storage_equipment,7,unit,ambient,emergency,scheduled stock transfer,delivered,2024,6,62.0
SHP-2024-00022,1,2024-06-05 17:00:00,2024-06-06 17:00:00,BP-30039,BP-30015,FCL-1029,FCL-1006,BP-30055,biological_sample,10,sealed_lot,2-8c,ordinary,agricultural distribution,delivered,2024,6,24.0
SHP-2024-00023,1,2024-06-05 18:00:00,2024-06-07 06:00:00,BP-30078,BP-30021,FCL-1011,FCL-1007,BP-30047,refrigeration_service,1,service,ambient,ordinary,customer distribution,delivered,2024,6,36.0
SHP-2024-00024,1,2024-06-07 05:00:00,2024-06-09 10:00:00,BP-30062,BP-30036,FCL-1012,FCL-1030,BP-30042,refrigeration_service,1,service,ambient,ordinary,agricultural distribution,delivered,2024,6,53.0
SHP-2024-00025,1,2024-06-08 15:00:00,2024-06-09 17:00:00,BP-30078,BP-30041,FCL-1011,FCL-1008,BP-30031,monitoring_equipment,10,kit,ambient,ordinary,customer distribution,delivered,2024,6,26.0
SHP-2024-00026,1,2024-06-10 10:00:00,2024-06-11 23:00:00,BP-30044,BP-30020,FCL-1029,FCL-1001,BP-30020,legal_service,1,service,ambient,ordinary,agricultural distribution,delivered,2024,6,37.0
SHP-2024-00027,1,2024-06-12 08:00:00,2024-06-12 16:00:00,BP-30078,BP-30021,FCL-1011,FCL-1007,BP-30020,laboratory_material,11,pack,ambient,expedited,laboratory delivery,delivered,2024,6,8.0
SHP-2024-00028,1,2024-06-12 10:00:00,2024-06-13 02:00:00,BP-30056,BP-30078,FCL-1019,FCL-1011,BP-30042,agricultural_product,31,pallet,ambient,expedited,scheduled stock transfer,delivered,2024,6,16.0
SHP-2024-00029,1,2024-06-15 12:00:00,2024-06-17 07:00:00,BP-30008,BP-30023,FCL-1007,FCL-1002,BP-30015,legal_service,1,service,ambient,emergency,customer distribution,delayed,2024,6,43.0
SHP-2024-00030,1,2024-06-16 08:00:00,2024-06-18 22:00:00,BP-30068,BP-30009,FCL-1020,FCL-1010,BP-30042,refrigeration_service,1,service,ambient,ordinary,facility replenishment,delivered,2024,6,62.0
SHP-2024-00031,1,2024-06-16 16:00:00,2024-06-18 08:00:00,BP-30037,BP-30078,FCL-1017,FCL-1011,BP-30015,consulting_service,1,service,ambient,ordinary,laboratory delivery,returned,2024,6,40.0
SHP-2024-00032,1,2024-06-16 18:00:00,2024-06-20 06:00:00,BP-30018,BP-30077,FCL-1003,FCL-1007,BP-30015,monitoring_equipment,23,kit,ambient,ordinary,scheduled stock transfer,delivered,2024,6,84.0
SHP-2024-00033,1,2024-06-18 11:00:00,2024-06-21 05:00:00,BP-30007,BP-30071,FCL-1014,FCL-1011,BP-30020,office_supply,44,case,ambient,ordinary,field programme support,delivered,2024,6,66.0
SHP-2024-00034,1,2024-06-19 05:00:00,2024-06-22 22:00:00,BP-30078,BP-30021,FCL-1011,FCL-1007,BP-30015,agricultural_product,50,pallet,ambient,expedited,customer distribution,delivered,2024,6,89.0
SHP-2024-00035,1,2024-06-19 05:00:00,2024-06-20 13:00:00,BP-30016,BP-30078,FCL-1030,FCL-1011,BP-30015,medical_consumables,69,case,2-8c,ordinary,customer distribution,delivered,2024,6,32.0
SHP-2024-00036,1,2024-06-21 10:00:00,2024-06-24 14:00:00,BP-30053,BP-30033,FCL-1030,FCL-1013,BP-30020,monitoring_equipment,3,kit,ambient,ordinary,agricultural distribution,delivered,2024,6,76.0
SHP-2024-00037,1,2024-06-22 07:00:00,2024-06-25 20:00:00,BP-30047,BP-30024,FCL-1016,FCL-1016,BP-30042,laboratory_material,52,pack,ambient,emergency,facility replenishment,delivered,2024,6,85.0
SHP-2024-00038,1,2024-06-23 05:00:00,2024-06-25 00:00:00,BP-30049,BP-30050,FCL-1002,FCL-1028,BP-30031,transport_service,1,service,ambient,ordinary,field programme support,delivered,2024,6,43.0
SHP-2024-00039,1,2024-06-23 15:00:00,2024-06-27 01:00:00,BP-30050,BP-30061,FCL-1028,FCL-1030,BP-30060,communication_service,1,service,ambient,ordinary,facility replenishment,delivered,2024,6,82.0
SHP-2024-00040,1,2024-06-23 18:00:00,2024-06-26 18:00:00,BP-30006,BP-30039,FCL-1019,FCL-1029,BP-30060,medical_consumables,88,case,2-8c,ordinary,facility replenishment,delivered,2024,6,72.0
SHP-2024-00041,1,2024-06-25 11:00:00,2024-06-29 02:00:00,BP-30075,BP-30080,FCL-1027,FCL-1020,BP-30042,medical_consumables,54,case,2-8c,ordinary,customer distribution,delivered,2024,6,87.0
SHP-2024-00042,1,2024-07-07 15:00:00,2024-07-07 22:00:00,BP-30061,BP-30021,FCL-1030,FCL-1007,BP-30060,laboratory_material,60,pack,ambient,restricted,laboratory delivery,delivered,2024,7,7.0
SHP-2024-00043,1,2024-07-09 06:00:00,2024-07-12 06:00:00,BP-30017,BP-30039,FCL-1010,FCL-1029,BP-30060,consulting_service,1,service,ambient,expedited,scheduled stock transfer,delivered,2024,7,72.0
SHP-2024-00044,1,2024-08-16 09:00:00,2024-08-17 05:00:00,BP-30056,BP-30078,FCL-1020,FCL-1020,BP-30047,biological_sample,3,sealed_lot,2-8c,expedited,environmental and wildlife reference materials,delivered,2024,8,20.0
SHP-2024-00045,1,2024-08-17 09:00:00,2024-08-18 12:00:00,BP-30011,BP-30078,FCL-1012,FCL-1011,BP-30055,agricultural_product,37,pallet,ambient,expedited,field programme support,delivered,2024,8,27.0
SHP-2024-00046,1,2024-09-06 07:00:00,2024-09-06 21:00:00,BP-30065,BP-30047,FCL-1014,FCL-1016,BP-30020,consulting_service,1,service,ambient,ordinary,field programme support,delivered,2024,9,14.0
SHP-2024-00047,1,2024-09-07 12:00:00,2024-09-09 07:00:00,BP-30004,BP-30071,FCL-1029,FCL-1011,BP-30042,office_supply,37,case,ambient,ordinary,facility replenishment,returned,2024,9,43.0
SHP-2025-00001,1,2025-02-11 09:00:00,2025-02-13 21:00:00,BP-30052,BP-30012,FCL-1011,FCL-1020,BP-30055,office_supply,8,case,ambient,expedited,agricultural distribution,delayed,2025,2,60.0
SHP-2025-00002,1,2025-02-12 09:00:00,2025-02-15 22:00:00,BP-30035,BP-30080,FCL-1009,FCL-1020,BP-30015,agricultural_product,46,pallet,ambient,ordinary,facility replenishment,delivered,2025,2,85.0
SHP-2025-00003,1,2025-03-08 15:00:00,2025-03-09 16:00:00,BP-30011,BP-30029,FCL-1012,FCL-1004,BP-30055,monitoring_equipment,13,kit,ambient,ordinary,laboratory delivery,delivered,2025,3,25.0
SHP-2025-00004,1,2025-04-03 11:00:00,,BP-30078,BP-30021,FCL-1011,FCL-1007,BP-30020,medical_consumables,33,case,2-8c,ordinary,laboratory delivery,in_transit,2025,4,
SHP-2025-00005,1,2025-04-18 09:00:00,2025-04-20 11:00:00,BP-30056,BP-30078,FCL-1030,FCL-1024,BP-30047,biological_sample,4,sealed_lot,2-8c,restricted,environmental and wildlife reference materials,delivered,2025,4,50.0
SHP-2025-00006,1,2025-05-01 10:00:00,2025-05-02 02:00:00,BP-30049,BP-30078,FCL-1002,FCL-1011,BP-30025,cold_storage_equipment,20,unit,ambient,ordinary,field programme support,delayed,2025,5,16.0
SHP-2025-00007,1,2025-05-01 12:00:00,,BP-30001,BP-30069,FCL-1025,FCL-1008,BP-30042,protective_equipment,3,case,ambient,restricted,scheduled stock transfer,in_transit,2025,5,
SHP-2025-00008,1,2025-05-03 06:00:00,2025-05-03 21:00:00,BP-30051,BP-30064,FCL-1005,FCL-1010,BP-30020,transport_service,1,service,ambient,ordinary,scheduled stock transfer,delivered,2025,5,15.0
SHP-2025-00009,1,2025-05-03 08:00:00,2025-05-05 04:00:00,BP-30069,BP-30031,FCL-1008,FCL-1023,BP-30031,transport_service,1,service,ambient,expedited,facility replenishment,delivered,2025,5,44.0
SHP-2025-00010,1,2025-05-04 18:00:00,2025-05-06 04:00:00,BP-30065,BP-30032,FCL-1014,FCL-1019,BP-30015,other,17,unit,ambient,ordinary,scheduled stock transfer,delivered,2025,5,34.0
SHP-2025-00011,1,2025-05-05 08:00:00,2025-05-07 18:00:00,BP-30078,BP-30021,FCL-1011,FCL-1007,BP-30042,laboratory_material,3,pack,ambient,ordinary,laboratory delivery,delivered,2025,5,58.0
SHP-2025-00012,1,2025-05-05 16:00:00,2025-05-06 03:00:00,BP-30076,BP-30003,FCL-1020,FCL-1015,BP-30060,medical_equipment,13,unit,ambient,ordinary,facility replenishment,delivered,2025,5,11.0
SHP-2025-00013,1,2025-05-05 18:00:00,2025-05-08 04:00:00,BP-30048,BP-30007,FCL-1011,FCL-1014,BP-30047,cold_storage_equipment,13,unit,ambient,expedited,field programme support,delivered,2025,5,58.0
SHP-2025-00014,1,2025-05-06 11:00:00,2025-05-10 08:00:00,BP-30078,BP-30021,FCL-1011,FCL-1007,BP-30025,agricultural_product,3,pallet,ambient,ordinary,scheduled stock transfer,delivered,2025,5,93.0
SHP-2025-00015,1,2025-05-06 15:00:00,2025-05-07 13:00:00,BP-30045,BP-30006,FCL-1016,FCL-1019,BP-30047,protective_equipment,16,case,ambient,ordinary,customer distribution,delivered,2025,5,22.0
SHP-2025-00016,1,2025-05-07 15:00:00,2025-05-09 05:00:00,BP-30072,BP-30061,FCL-1024,FCL-1030,BP-30060,communication_service,1,service,ambient,ordinary,laboratory delivery,delivered,2025,5,38.0
SHP-2025-00017,1,2025-05-10 10:00:00,2025-05-14 08:00:00,BP-30033,BP-30027,FCL-1013,FCL-1021,BP-30015,protective_equipment,1,case,ambient,ordinary,customer distribution,delayed,2025,5,94.0
SHP-2025-00018,1,2025-05-11 11:00:00,2025-05-13 18:00:00,BP-30078,BP-30079,FCL-1011,FCL-1022,BP-30055,research_contract,1,contract,ambient,ordinary,laboratory delivery,delivered,2025,5,55.0
SHP-2025-00019,1,2025-05-12 07:00:00,2025-05-16 00:00:00,BP-30077,BP-30002,FCL-1007,FCL-1030,BP-30025,monitoring_equipment,10,kit,ambient,expedited,customer distribution,delivered,2025,5,89.0
SHP-2025-00020,1,2025-05-13 07:00:00,2025-05-14 14:00:00,BP-30055,BP-30046,FCL-1010,FCL-1010,BP-30025,protective_equipment,80,case,ambient,ordinary,agricultural distribution,delivered,2025,5,31.0
SHP-2025-00021,1,2025-05-14 13:00:00,2025-05-17 09:00:00,BP-30069,BP-30067,FCL-1008,FCL-1023,BP-30078,refrigeration_service,1,service,ambient,restricted,customer distribution,delivered,2025,5,68.0
SHP-2025-00022,1,2025-05-15 08:00:00,2025-05-16 00:00:00,BP-30017,BP-30069,FCL-1010,FCL-1008,BP-30025,refrigeration_service,1,service,ambient,ordinary,scheduled stock transfer,delivered,2025,5,16.0
SHP-2025-00023,1,2025-05-15 09:00:00,2025-05-16 09:00:00,BP-30031,BP-30077,FCL-1023,FCL-1007,BP-30042,monitoring_equipment,19,kit,ambient,ordinary,scheduled stock transfer,delivered,2025,5,24.0
SHP-2025-00024,1,2025-05-17 08:00:00,2025-05-20 10:00:00,BP-30078,BP-30056,FCL-1011,FCL-1019,BP-30055,medical_consumables,26,case,2-8c,ordinary,scheduled stock transfer,delivered,2025,5,74.0
SHP-2025-00025,1,2025-05-17 12:00:00,2025-05-17 22:00:00,BP-30033,BP-30061,FCL-1013,FCL-1030,BP-30015,biological_sample,15,sealed_lot,2-8c,ordinary,field programme support,delivered,2025,5,10.0
SHP-2025-00026,1,2025-05-18 14:00:00,2025-05-19 04:00:00,BP-30056,BP-30078,FCL-1019,FCL-1011,BP-30042,refrigeration_service,1,service,ambient,emergency,laboratory delivery,delivered,2025,5,14.0
SHP-2025-00027,1,2025-05-20 17:00:00,2025-05-24 05:00:00,BP-30037,BP-30047,FCL-1017,FCL-1016,BP-30042,protective_equipment,51,case,ambient,expedited,laboratory delivery,delivered,2025,5,84.0
SHP-2025-00028,1,2025-05-21 16:00:00,2025-05-23 00:00:00,BP-30003,BP-30079,FCL-1015,FCL-1022,BP-30055,laboratory_material,17,pack,ambient,ordinary,facility replenishment,delayed,2025,5,32.0
SHP-2025-00029,1,2025-05-22 17:00:00,2025-05-23 07:00:00,BP-30054,BP-30014,FCL-1007,FCL-1029,BP-30042,laboratory_material,7,pack,ambient,restricted,facility replenishment,delivered,2025,5,14.0
SHP-2025-00030,1,2025-05-23 06:00:00,2025-05-24 05:00:00,BP-30025,BP-30057,FCL-1026,FCL-1016,BP-30047,monitoring_equipment,15,kit,ambient,ordinary,field programme support,delivered,2025,5,23.0
SHP-2025-00031,1,2025-05-23 10:00:00,2025-05-24 08:00:00,BP-30078,BP-30056,FCL-1011,FCL-1019,BP-30047,agricultural_product,49,pallet,ambient,expedited,laboratory delivery,delivered,2025,5,22.0
SHP-2025-00032,1,2025-06-03 14:00:00,2025-06-07 00:00:00,BP-30017,BP-30078,FCL-1010,FCL-1011,BP-30042,consulting_service,1,service,ambient,ordinary,laboratory delivery,delivered,2025,6,82.0
SHP-2025-00033,1,2025-06-13 09:00:00,2025-06-15 22:00:00,BP-30056,BP-30078,FCL-1019,FCL-1019,BP-30047,biological_sample,8,sealed_lot,2-8c,restricted,environmental and wildlife reference materials,delivered,2025,6,61.0
SHP-2025-00034,1,2025-06-15 13:00:00,2025-06-16 03:00:00,BP-30039,BP-30017,FCL-1029,FCL-1010,BP-30060,laboratory_material,57,pack,ambient,ordinary,facility replenishment,delivered,2025,6,14.0
